fips,county_name,state,percent_poverty,percent_high_blood_pressure,percent_stroke,percent_high_cholesterol,percent_eldery
1001,Autauga,AL,11.2,41.3,3.5,36.4,14.6
1003,Baldwin,AL,8.9,39.2,3.5,37.9,19.5
1005,Barbour,AL,25.5,49.6,5.8,38.6,18
1007,Bibb,AL,17.8,44.1,4.2,36.9,16.3
1009,Blount,AL,13.1,41.8,3.9,37.5,17.8
1011,Bullock,AL,30.8,50.8,6.2,36.1,15.6
1013,Butler,AL,20.6,49.9,5.2,39.6,19
1015,Calhoun,AL,14.5,44.2,4.1,36.1,16.8
1017,Chambers,AL,16.3,48.5,4.9,37.7,18.9
1019,Cherokee,AL,14.7,45.7,4.6,40.5,21.7
1021,Chilton,AL,13.9,42.2,4.1,35.1,15.8
1023,Choctaw,AL,20.4,52.2,5.6,40,22.1
1025,Clarke,AL,19.5,51.1,5.5,38,19
1027,Clay,AL,14.2,46.6,4.7,39.7,19.8
1029,Cleburne,AL,14.2,42.7,4.3,39.1,18.8
1031,Coffee,AL,13.9,41.2,3.9,35.3,16.3
1033,Colbert,AL,14.4,43.5,4.2,35.7,19.3
1035,Conecuh,AL,22.9,51.1,5.9,39.5,21.6
1037,Coosa,AL,17.4,49.9,5,41.4,21.8
1039,Covington,AL,17.1,46.3,4.6,40.6,20.5
1041,Crenshaw,AL,16.8,46,4.6,39.7,18.3
1043,Cullman,AL,12.5,41.5,3.8,38,18
1045,Dale,AL,15.5,42.3,4.2,37.8,16.1
1047,Dallas,AL,26.7,53.9,6.1,38.7,16.8
1049,DeKalb,AL,15.2,42,4.5,37.9,16.3
1051,Elmore,AL,11.5,40.1,3.4,36.8,14.5
1053,Escambia,AL,20.4,46.5,5.2,35.1,17.3
1055,Etowah,AL,15.6,42.9,4.1,38,18.3
1057,Fayette,AL,16.5,46.6,4.8,40.5,20.5
1059,Franklin,AL,17.2,40.4,4.3,36.2,16.2
1061,Geneva,AL,21,45.7,4.9,40.7,19.4
1063,Greene,AL,27.9,58.7,8,39.9,20.4
1065,Hale,AL,21.9,50.1,5.9,37.9,18.3
1067,Henry,AL,16.2,47.9,4.8,38.9,21.6
1069,Houston,AL,14.8,45.5,4.3,36.5,16.9
1071,Jackson,AL,15.3,45.2,4.5,40,19.1
1073,Jefferson,AL,14.4,40.1,3.8,31.9,15
1075,Lamar,AL,17.4,46.4,4.6,40.3,21.1
1077,Lauderdale,AL,13.9,39.8,3.8,35.4,19.3
1079,Lawrence,AL,15.4,44.5,4.6,37.8,17.4
1081,Lee,AL,17.9,35.8,3,31.8,11.1
1083,Limestone,AL,10.4,40.5,3.4,36.3,14.7
1085,Lowndes,AL,21.9,54.2,6.4,37.5,17.9
1087,Macon,AL,27.9,50.3,5.7,34.6,18.6
1089,Madison,AL,10.5,37.8,3.1,33.1,14.3
1091,Marengo,AL,18.3,49.4,5.2,37.5,18.9
1093,Marion,AL,16.8,44.6,4.6,39.6,20.8
1095,Marshall,AL,15.4,42.3,3.9,39,16.8
1097,Mobile,AL,17.6,42.5,4.2,36.5,15.3
1099,Monroe,AL,22.5,49.7,5.6,38.8,18.9
1101,Montgomery,AL,20.4,44.7,4.2,33.6,14.2
1103,Morgan,AL,14.4,39.3,3.9,36.3,16.7
1105,Perry,AL,30.7,52.2,7.2,36.2,18.6
1107,Pickens,AL,22.7,48.3,5.3,36.6,18.4
1109,Pike,AL,19.7,40.5,3.7,32.6,14.6
1111,Randolph,AL,17.5,44.8,4.5,38.5,20
1113,Russell,AL,20.3,44.4,4.4,34.7,13.4
1115,St. Clair,AL,10.5,42.9,3.5,37.7,15.9
1117,Shelby,AL,7,36.8,2.8,34.8,14.3
1119,Sumter,AL,29.2,48.7,5.9,34.3,16.9
1121,Talladega,AL,16.9,46.1,4.6,37.2,17.1
1123,Tallapoosa,AL,15.2,48.1,4.8,39.2,20.4
1125,Tuscaloosa,AL,14.4,38.4,3.2,31.9,12.5
1127,Walker,AL,16.4,43.6,4.3,36.7,18.6
1129,Washington,AL,17.5,46.5,4.9,38.2,18.3
1131,Wilcox,AL,22.2,54.1,6.6,38.8,18.4
1133,Winston,AL,17.4,45.9,4.8,41.4,21.1
2013,Aleutians East,AK,15.1,34.1,3.1,31.2,8.8
2016,Aleutians West,AK,8.1,30.3,2.3,30.3,5.8
2020,Anchorage,AK,8.3,28.8,2.5,29.4,10
2050,Bethel,AK,25.3,36.2,5.1,28.7,7.1
2060,Bristol Bay,AK,10.7,33.6,3.7,32.3,9.6
2068,Denali,AK,6.4,30.9,2.7,30.9,7.3
2070,Dillingham,AK,18.7,35.1,4.5,29.3,8.6
2090,Fairbanks North Star,AK,7.2,28,2.3,27.5,9.2
2100,Haines,AK,9.6,36.7,3.8,34.5,24.4
2105,Hoonah-Angoon,AK,12.7,40.9,4.7,35.8,19.5
2110,Juneau,AK,8.1,29.7,2.6,31.3,12
2122,Kenai Peninsula,AK,10.6,35.9,3.4,34,15.6
2130,Ketchikan Gateway,AK,8.3,33.7,3.1,31.4,14.1
2150,Kodiak Island,AK,7.5,28.9,2.5,30,9.1
2158,Kusilvak,AK,27.9,39.1,6,28.4,5.6
2164,Lake and Peninsula,AK,17.6,37.5,4.3,31.7,7.9
2170,Matanuska-Susitna,AK,8.7,32.1,2.8,31.9,10.7
2180,Nome,AK,18.8,33.8,4.3,28.8,7.5
2185,North Slope,AK,11.1,32.3,3.2,29.6,6.4
2188,Northwest Arctic,AK,18.5,34.9,4.5,28.8,7.7
2195,Petersburg,AK,7.4,33.9,3.3,34.8,21.5
2198,Prince of Wales-Hyder,AK,15.9,39.6,4.7,35,14.8
2220,Sitka,AK,7.4,32.2,2.9,31.1,14.5
2230,Skagway,AK,3.8,31,2.7,30.8,11.3
2240,Southeast Fairbanks,AK,11.7,33.3,3.3,33.5,12.9
2261,Valdez-Cordova,AK,-1,-1,-1,-1,12.4
2275,Wrangell,AK,10.6,39.4,4.3,37.3,22.1
2282,Yakutat,AK,12.4,38.5,4.3,34,12.3
2290,Yukon-Koyukuk,AK,20.5,38.9,5.5,32.4,13.6
4001,Apache,AZ,32.4,36.6,6.3,31,14.6
4003,Cochise,AZ,14.6,35.8,3.8,34.5,21
4005,Coconino,AZ,17.2,25.3,2.9,26.8,11.6
4007,Gila,AZ,16.7,39.4,5,37.5,27.7
4009,Graham,AZ,15.2,30.8,3.4,29.8,13.2
4011,Greenlee,AZ,8.4,29.2,2.8,31.4,12.2
4012,La Paz,AZ,20.8,42.3,6.5,39.1,37.9
4013,Maricopa,AZ,11.6,29.6,2.9,31.2,14.5
4015,Mohave,AZ,15.3,37.5,4.8,38.4,28.8
4017,Navajo,AZ,23.3,36.4,5.2,34.8,16.9
4019,Pima,AZ,14.9,29.9,3.3,32.5,18.7
4021,Pinal,AZ,11.1,31,3.6,33.6,19.3
4023,Santa Cruz,AZ,16.8,34.3,3.8,34.3,16.9
4025,Yavapai,AZ,10.8,37.8,4.2,37.2,29.8
4027,Yuma,AZ,15.2,32.9,3.9,34.2,18
5001,Arkansas,AR,17.2,42.9,4.5,39,18.4
5003,Ashley,AR,17.1,45.9,5.1,39.6,19.4
5005,Baxter,AR,14.4,43.6,4.7,42.1,30.7
5007,Benton,AR,9.1,31.6,2.6,31.9,13.1
5009,Boone,AR,14.1,40.6,3.9,39.6,20.1
5011,Bradley,AR,20.6,43.4,4.7,37.7,18.4
5013,Calhoun,AR,16.2,44.4,4.5,40.4,20.8
5015,Carroll,AR,14.1,41.2,4.1,38.6,21.9
5017,Chicot,AR,26.8,50,6.5,40.4,19.5
5019,Clark,AR,20.1,36.3,3.7,35.1,16.1
5021,Clay,AR,18.1,44.2,4.6,41.1,20.8
5023,Cleburne,AR,14.5,44.3,4.6,42.6,26.5
5025,Cleveland,AR,13.8,44.9,4.5,41.4,20.1
5027,Columbia,AR,18.3,40.9,4.4,36.8,16.9
5029,Conway,AR,15.8,43.4,4.6,38.7,18.8
5031,Craighead,AR,16.8,36.7,3.2,35.8,13.3
5033,Crawford,AR,14.4,39.5,3.9,38.9,16.1
5035,Crittenden,AR,22.9,44.8,4.5,38.5,13.3
5037,Cross,AR,21.2,43.5,4.6,38.9,18
5039,Dallas,AR,19.5,48.5,5.2,41.3,21.3
5041,Desha,AR,22.8,48.5,5.9,39.1,18.1
5043,Drew,AR,18.4,39.3,4.3,36.7,16.7
5045,Faulkner,AR,12,34.9,2.9,34.8,11.8
5047,Franklin,AR,15.3,42.1,4.5,42.1,18.9
5049,Fulton,AR,17,47.4,5.5,44,25.3
5051,Garland,AR,15.7,43.2,4.2,40.3,22.8
5053,Grant,AR,9.9,38.9,3.4,38.2,17.2
5055,Greene,AR,17.1,39.4,3.6,36.6,15.6
5057,Hempstead,AR,18.7,42.8,4.8,38.1,17.6
5059,Hot Spring,AR,14.9,41.8,4,39.3,18.3
5061,Howard,AR,16.7,42.3,4.6,38.4,17.5
5063,Independence,AR,15,40.1,3.8,38.6,17.2
5065,Izard,AR,20.1,43.4,4.9,41,24.9
5067,Jackson,AR,23.1,43,4.5,39.5,17.3
5069,Jefferson,AR,18.9,47.4,4.8,37.3,16.3
5071,Johnson,AR,17.3,40.2,4.1,38.1,16
5073,Lafayette,AR,19.8,50.3,6.1,42.8,22.8
5075,Lawrence,AR,19.2,42,4.2,38.8,19.2
5077,Lee,AR,36.8,48.5,6,38.6,18.4
5079,Lincoln,AR,23.6,40.5,4.1,35.5,14.6
5081,Little River,AR,16.2,43.8,4.4,40.1,20.4
5083,Logan,AR,15.8,42.4,4.3,40.8,19.2
5085,Lonoke,AR,10.9,36,3.1,36.2,12.8
5087,Madison,AR,16.9,41.1,4.3,39.8,18.4
5089,Marion,AR,19.1,45.5,4.9,43.8,27.4
5091,Miller,AR,19.2,41.6,4.2,39,16
5093,Mississippi,AR,21,44.4,4.4,38.2,14.1
5095,Monroe,AR,23.8,51,5.9,42,22.4
5097,Montgomery,AR,18.8,46.4,5.1,43.8,26.6
5099,Nevada,AR,19.1,46,4.8,40.1,19.9
5101,Newton,AR,18.7,45,4.4,42.6,24.6
5103,Ouachita,AR,20.5,49.7,5.4,38.4,19.1
5105,Perry,AR,14.7,41.2,4.1,40.3,19
5107,Phillips,AR,22.1,53.5,6.1,39.8,17.6
5109,Pike,AR,18.6,41.7,4.2,40.6,20.1
5111,Poinsett,AR,21.2,42.6,4.5,40.8,17.5
5113,Polk,AR,18.1,44.6,4.9,42.6,22.2
5115,Pope,AR,14.1,36.7,3.5,35.9,15.1
5117,Prairie,AR,14.5,45.3,4.4,41.2,22.9
5119,Pulaski,AR,15.3,39.4,3.5,35.2,14.5
5121,Randolph,AR,16.3,43,4.5,41.1,19.8
5123,St. Francis,AR,30.1,45.5,5.2,37,15.2
5125,Saline,AR,8.2,36.9,3.2,37.1,17.2
5127,Scott,AR,17.5,43.6,4.6,41.8,19.9
5129,Searcy,AR,22.3,46.4,5.5,43.6,24.8
5131,Sebastian,AR,16.8,39.3,3.7,38.1,15.2
5133,Sevier,AR,16.7,37,4,36.6,14.1
5135,Sharp,AR,18.1,48.3,5.2,43.5,25.7
5137,Stone,AR,20.1,47.1,5.7,44.9,26.4
5139,Union,AR,16.9,42,4.3,38.5,16.9
