cnty_fips,display_name,Value,theme_range
2013,"""Aleutians East, (AK)""",3425,75 - 9055 (644)
2016,"""Aleutians West, (AK)""",5750,75 - 9055 (644)
2020,"""Anchorage, (AK)""",296112,91049.1 - 10098052 (644)
2050,"""Bethel, (AK)""",18040,9055.1 - 19054 (644)
2060,"""Bristol Bay, (AK)""",890,75 - 9055 (644)
2068,"""Denali, (AK)""",2232,75 - 9055 (644)
2070,"""Dillingham, (AK)""",4975,75 - 9055 (644)
2090,"""Fairbanks North Star, (AK)""",99653,91049.1 - 10098052 (644)
2100,"""Haines, (AK)""",2518,75 - 9055 (644)
2105,"""Hoonah-Angoon, (AK)""",2132,75 - 9055 (644)
2110,"""Juneau, (AK)""",32330,19054.1 - 36769 (644)
2122,"""Kenai Peninsula, (AK)""",58220,36769.1 - 91049 (644)
2130,"""Ketchikan Gateway, (AK)""",13804,9055.1 - 19054 (644)
2150,"""Kodiak Island, (AK)""",13649,9055.1 - 19054 (644)
2164,"""Lake and Peninsula, (AK)""",1375,75 - 9055 (644)
2170,"""Matanuska-Susitna, (AK)""",103464,91049.1 - 10098052 (644)
2180,"""Nome, (AK)""",9925,9055.1 - 19054 (644)
2185,"""North Slope, (AK)""",9797,9055.1 - 19054 (644)
2188,"""Northwest Arctic, (AK)""",7734,75 - 9055 (644)
2195,"""Petersburg, (AK)""",3255,75 - 9055 (644)
2198,"""Prince of Wales-Hyder, (AK)""",6474,75 - 9055 (644)
2220,"""Sitka, (AK)""",8738,75 - 9055 (644)
2230,"""Skagway, (AK)""",1061,75 - 9055 (644)
2240,"""Southeast Fairbanks, (AK)""",6876,75 - 9055 (644)
2261,"""Valdez-Cordova, (AK)""",9301,9055.1 - 19054 (644)
2158,"""Kusilvak, (AK)""",8198,75 - 9055 (644)
2275,"""Wrangell, (AK)""",2484,75 - 9055 (644)
2282,"""Yakutat, (AK)""",689,75 - 9055 (644)
2290,"""Yukon-Koyukuk, (AK)""",5415,75 - 9055 (644)
6001,"""Alameda, (CA)""",1643700,91049.1 - 10098052 (644)
6005,"""Amador, (CA)""",37829,36769.1 - 91049 (644)
6007,"""Butte, (CA)""",227075,91049.1 - 10098052 (644)
6009,"""Calaveras, (CA)""",45235,36769.1 - 91049 (644)
6011,"""Colusa, (CA)""",21464,19054.1 - 36769 (644)
6013,"""Contra Costa, (CA)""",1133247,91049.1 - 10098052 (644)
6015,"""Del Norte, (CA)""",27424,19054.1 - 36769 (644)
6017,"""El Dorado, (CA)""",186661,91049.1 - 10098052 (644)
6021,"""Glenn, (CA)""",27897,19054.1 - 36769 (644)
6023,"""Humboldt, (CA)""",135768,91049.1 - 10098052 (644)
6031,"""Kings, (CA)""",150075,91049.1 - 10098052 (644)
6033,"""Lake, (CA)""",64148,36769.1 - 91049 (644)
6035,"""Lassen, (CA)""",31185,19054.1 - 36769 (644)
6041,"""Marin, (CA)""",260295,91049.1 - 10098052 (644)
6043,"""Mariposa, (CA)""",17540,9055.1 - 19054 (644)
6045,"""Mendocino, (CA)""",87422,36769.1 - 91049 (644)
6047,"""Merced, (CA)""",269075,91049.1 - 10098052 (644)
6049,"""Modoc, (CA)""",8938,75 - 9055 (644)
6053,"""Monterey, (CA)""",433212,91049.1 - 10098052 (644)
6055,"""Napa, (CA)""",140530,91049.1 - 10098052 (644)
6057,"""Nevada, (CA)""",99092,91049.1 - 10098052 (644)
6061,"""Placer, (CA)""",380077,91049.1 - 10098052 (644)
6063,"""Plumas, (CA)""",18699,9055.1 - 19054 (644)
6067,"""Sacramento, (CA)""",1510023,91049.1 - 10098052 (644)
6069,"""San Benito, (CA)""",59416,36769.1 - 91049 (644)
6075,"""San Francisco, (CA)""",870044,91049.1 - 10098052 (644)
6077,"""San Joaquin, (CA)""",732212,91049.1 - 10098052 (644)
6079,"""San Luis Obispo, (CA)""",281455,91049.1 - 10098052 (644)
6081,"""San Mateo, (CA)""",765935,91049.1 - 10098052 (644)
6083,"""Santa Barbara, (CA)""",443738,91049.1 - 10098052 (644)
6085,"""Santa Clara, (CA)""",1922200,91049.1 - 10098052 (644)
6087,"""Santa Cruz, (CA)""",273765,91049.1 - 10098052 (644)
6089,"""Shasta, (CA)""",179085,91049.1 - 10098052 (644)
6091,"""Sierra, (CA)""",2930,75 - 9055 (644)
6093,"""Siskiyou, (CA)""",43540,36769.1 - 91049 (644)
6095,"""Solano, (CA)""",438530,91049.1 - 10098052 (644)
6097,"""Sonoma, (CA)""",501317,91049.1 - 10098052 (644)
6099,"""Stanislaus, (CA)""",539301,91049.1 - 10098052 (644)
6101,"""Sutter, (CA)""",95872,91049.1 - 10098052 (644)
6103,"""Tehama, (CA)""",63373,36769.1 - 91049 (644)
6105,"""Trinity, (CA)""",12862,9055.1 - 19054 (644)
6109,"""Tuolumne, (CA)""",53932,36769.1 - 91049 (644)
6113,"""Yolo, (CA)""",214977,91049.1 - 10098052 (644)
